Ticker,Rank,Name,Market Cap,Country,Shares,6mo Gain Abs,6mo Gain Pct,1st Month Gain,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,6mo Veredict_loss,6mo Veredict_neutral,6mo Veredict_gain,6mo Veredict_big gain
AAPL,1,Apple,2.656e+24,🇺🇸 USA,1.6401136223292578e+22,34.31,0.2699449252557042,12.350000000000009,0,0,0,0,0,0,0,0,1,0,0,0,0,1
MSFT,2,Microsoft,2.537e+24,🇺🇸 USA,7.507916309076381e+21,86.9,0.3465188611532019,21.21999999999997,0,0,0,0,0,0,0,0,1,0,0,0,0,1
GOOG,3,Alphabet (Google),1.943e+24,🇺🇸 USA,6.622358554873893e+20,528.4699999999998,0.2195855684410408,94.76000000000022,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2222.SR,4,Saudi Aramco,1.896e+24,🇸🇦 S. Arabia,1.997892518440464e+23,0.3499999999999943,0.0098730606488008,-0.1999999999999957,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMZN,5,Amazon,1.815e+24,🇺🇸 USA,5.069832402234637e+20,335.0500000000002,0.1032514738103971,217.0899999999997,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TSLA,6,Tesla,1.12e+24,🇺🇸 USA,1.0035842293906812e+21,502.5899999999999,0.8287546995580763,54.48000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FB,7,Meta (Facebook),948740000000.0,🇺🇸 USA,2781739283.4105434,12.620000000000005,0.0388750269537627,18.97999999999996,1,0,0,0,0,0,0,0,0,0,0,1,0,0
NVDA,8,NVIDIA,814230000000.0,🇺🇸 USA,2491981391.932423,161.33999999999995,1.0334358186010757,37.58000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BRK-A,9,Berkshire Hathaway,643100000000.0,🇺🇸 USA,1484078.0646754345,-510.0,-0.0011712533099388,-17399.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TSM,10,TSMC,626010000000.0,🇹🇼 Taiwan,5186065777.483225,7.730000000000004,0.0680278095573352,2.799999999999997,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TCEHY,11,Tencent,581300000000.0,🇨🇳 China,9689948324.720787,-15.479999999999997,-0.204383416952733,-3.0799999999999983,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JPM,12,JPMorgan Chase,493410000000.0,🇺🇸 USA,2955258744.609487,4.740000000000009,0.0289837348660879,-8.700000000000017,0,0,0,0,1,0,0,0,0,0,0,1,0,0
V,13,Visa,442290000000.0,🇺🇸 USA,2176088560.8856087,-30.829999999999984,-0.1344409558695272,6.519999999999982,0,0,0,0,1,0,0,0,0,0,1,0,0,0
