Unnamed: 0,Ticker,Sector
0,A,Healthcare
1,AA,Basic Materials
2,AAIGF,Financial Services
3,AAL,Industrials
4,AAN,Consumer Cyclical
5,AAON,Industrials
6,AAP,Consumer Cyclical
7,AAPL,Technology
8,AAT,Real Estate
9,AAWW,Industrials
10,AB,Financial Services
11,ABB,Industrials
12,ABBV,Healthcare
13,ABC,Healthcare
14,ABCB,Financial Services
15,ABCL,Healthcare
16,ABEO,Healthcare
17,ABEV,Consumer Defensive
18,ABG,Consumer Cyclical
19,ABM,Industrials
20,ABMD,Healthcare
21,ABNB,Communication Services
22,ABR,Real Estate
23,ABT,Healthcare
24,ABTX,Financial Services
25,ABUS,Healthcare
26,ACA,Industrials
27,ACAD,Healthcare
28,ACBI,Financial Services
29,ACC,Real Estate
30,ACCD,Healthcare
31,ACGBY,Financial Services
32,ACGL,Financial Services
33,ACH,Basic Materials
34,ACHC,Healthcare
35,ACHR,Industrials
36,ACHV,Healthcare
37,ACI,Consumer Defensive
38,ACIU,Healthcare
39,ACIW,Technology
40,ACLS,Technology
41,ACM,Industrials
42,ACMR,Technology
43,ACN,Technology
44,ACNB,Financial Services
45,ACOR,Healthcare
46,ACRE,Real Estate
47,ACRX,Healthcare
48,ACST,Healthcare
49,ACTG,Industrials
50,ADAP,Healthcare
51,ADBE,Technology
52,ADC,Real Estate
53,ADCT,Healthcare
54,ADDDF,Consumer Cyclical
55,ADES,Industrials
56,ADI,Technology
57,ADIL,Healthcare
58,ADM,Consumer Defensive
59,ADMA,Healthcare
60,ADMS,Healthcare
61,ADN,Utilities
62,ADNT,Consumer Cyclical
63,ADP,Industrials
64,ADPT,Healthcare
65,ADS,Financial Services
66,ADSK,Technology
67,ADT,Industrials
68,ADTN,Technology
69,ADUS,Healthcare
70,ADV,Communication Services
71,ADVM,Healthcare
72,ADXS,Healthcare
73,AEE,Utilities
74,AEG,Financial Services
75,AEHR,Technology
76,AEIS,Industrials
77,AEL,Financial Services
78,AEM,Basic Materials
79,AEMD,Healthcare
80,AEO,Consumer Cyclical
81,AEP,Utilities
82,AER,Industrials
83,AES,Utilities
84,AESE,Communication Services
85,AEZS,Healthcare
86,AFG,Financial Services
87,AFI,Industrials
88,AFL,Financial Services
89,AFMD,Healthcare
90,AFRM,Technology
91,AG,Basic Materials
92,AGCO,Industrials
93,AGE,Healthcare
94,AGEN,Healthcare
95,AGFS,Consumer Defensive
96,AGFY,Industrials
97,AGI,Basic Materials
98,AGIO,Healthcare
99,AGL,Healthcare
100,AGM,Financial Services
101,AGNC,Real Estate
102,AGO,Financial Services
103,AGR,Utilities
104,AGRX,Healthcare
105,AGS,Consumer Cyclical
106,AGX,Industrials
107,AGYS,Technology
108,AHCHF,Basic Materials
109,AHCO,Healthcare
110,AHH,Real Estate
111,AHI,Technology
112,AHODF,Consumer Defensive
113,AHPI,Healthcare
114,AHT,Real Estate
115,AI,Technology
116,AIABF,Industrials
117,AIG,Financial Services
118,AIM,Healthcare
119,AIMC,Industrials
120,AIN,Consumer Cyclical
121,AIP,Technology
122,AIR,Industrials
123,AIRC,Real Estate
124,AIRI,Industrials
125,AIRS,Healthcare
126,AIT,Industrials
127,AIV,Real Estate
128,AIVAF,Financial Services
129,AIZ,Financial Services
130,AJG,Financial Services
131,AJRD,Industrials
132,AKAM,Technology
133,AKBA,Healthcare
134,AKR,Real Estate
135,AKTS,Technology
136,AL,Industrials
137,ALB,Basic Materials
138,ALC,Healthcare
139,ALCO,Consumer Defensive
140,ALDX,Healthcare
141,ALE,Utilities
142,ALEC,Healthcare
143,ALEX,Real Estate
144,ALGM,Technology
145,ALGN,Healthcare
146,ALGT,Industrials
147,ALIZF,Financial Services
