Rank,Name,Market Cap,Price,Country,Ticker,Shares
1,Apple,2648000000000.0,161.41,🇺🇸 USA,AAPL,16405427173.037607
2,Microsoft,2535000000000.0,337.68,🇺🇸 USA,MSFT,7507107320.540156
3,Alphabet (Google),1942000000000.0,2935.0,🇺🇸 USA,GOOG,661669505.9625213
4,Saudi Aramco,1907000000000.0,9.54,🇸🇦 S. Arabia,2222.SR,199895178197.065
5,Amazon,1815000000000.0,3580.0,🇺🇸 USA,AMZN,506983240.2234637
6,Tesla,1113000000000.0,1109.0,🇺🇸 USA,TSLA,1003606853.0207394
7,Meta (Facebook),938140000000.0,337.25,🇺🇸 USA,FB,2781734618.23573
8,NVIDIA,791110000000.0,317.46,🇺🇸 USA,NVDA,2491998991.998992
9,Berkshire Hathaway,645240000000.0,434921.0,🇺🇸 USA,BRK-A,1483579.776557122
10,TSMC,629380000000.0,121.36,🇹🇼 Taiwan,TSM,5186058009.228741
11,Tencent,595700000000.0,60.26,🇨🇳 China,TCEHY,9885496183.206108
12,JPMorgan Chase,497310000000.0,168.28,🇺🇸 USA,JPM,2955253149.512717
13,Visa,431930000000.0,198.49,🇺🇸 USA,V,2176079399.465968
14,Home Depot,430970000000.0,408.37,🇺🇸 USA,HD,1055341969.2925533
15,Samsung,427040000000.0,63.42,🇰🇷 S. Korea,005930.KS,6733522548.092084
16,Johnson & Johnson,423030000000.0,160.69,🇺🇸 USA,JNJ,2632584479.4324474
17,UnitedHealth,421120000000.0,447.13,🇺🇸 USA,UNH,941828998.2779058
18,LVMH,411160000000.0,162.19,🇫🇷 France,LVMUY,2535051482.828781
19,Walmart,406590000000.0,145.81,🇺🇸 USA,WMT,2788491872.985392
20,Bank of America,388740000000.0,47.5,🇺🇸 USA,BAC,8184000000.0
21,Alibaba,373340000000.0,133.66,🇨🇳 China,BABA,2793206643.722879
22,Kweichow Moutai,373070000000.0,296.99,🇨🇳 China,600519.SS,1256170241.42227
23,Nestlé,362980000000.0,131.15,🇨🇭 Switzerland,NSRGY,2767670606.176134
24,Procter & Gamble,361630000000.0,149.44,🇺🇸 USA,PG,2419900963.59743
25,ASML,340540000000.0,807.48,🇳🇱 Netherlands,ASML,421731807.5989498
26,Roche,335610000000.0,48.14,🇨🇭 Switzerland,RHHBY,6971541337.764853
27,Mastercard,323260000000.0,329.0,🇺🇸 USA,MA,982553191.4893616
28,Adobe,316480000000.0,665.16,🇺🇸 USA,ADBE,475795297.3720609
29,Netflix,289710000000.0,654.06,🇺🇸 USA,NFLX,442941014.5858179
30,Pfizer,286700000000.0,51.08,🇺🇸 USA,PFE,5612764291.307753
31,Salesforce,285300000000.0,291.42,🇺🇸 USA,CRM,978999382.3347745
32,Walt Disney,274440000000.0,151.03,🇺🇸 USA,DIS,1817122426.0080779
33,Nike,272480000000.00003,172.15,🇺🇸 USA,NKE,1582805692.7098463
34,Exxon Mobil,267260000000.0,63.13,🇺🇸 USA,XOM,4233486456.5182953
35,L'Oréal,258100000000.00003,462.83,🇫🇷 France,OR.PA,557656158.8488215
36,Toyota,256430000000.0,185.06,🇯🇵 Japan,TM,1385658705.2847724
37,Oracle,254060000000.0,92.94,🇺🇸 USA,ORCL,2733591564.450183
38,Novo Nordisk,252510000000.0,109.42,🇩🇰 Denmark,NVO,2307713397.916286
39,Eli Lilly,250580000000.0,261.96,🇺🇸 USA,LLY,956558253.1684227
40,Thermo Fisher Scientific,250150000000.0,632.76,🇺🇸 USA,TMO,395331563.30994374
41,CATL,245090000000.0,105.24,🇨🇳 China,300750.SZ,2328867350.8171797
42,ICBC,241770000000.0,0.55,🇨🇳 China,1398.HK,439581818181.8182
43,Coca-Cola,241360000000.0,55.88,🇺🇸 USA,KO,4319255547.602004
44,Costco,240900000000.0,545.26,🇺🇸 USA,COST,441807578.03616625
45,Comcast,237760000000.0,52.04,🇺🇸 USA,CMCSA,4568793235.972329
46,Cisco,233230000000.0,55.3,🇺🇸 USA,CSCO,4217540687.1609406
47,Broadcom,228490000000.0,555.12,🇺🇸 USA,AVGO,411604698.0832973
48,Pepsico,228480000000.0,165.25,🇺🇸 USA,PEP,1382632375.1891074
49,Accenture,227830000000.0,360.7,🇮🇪 Ireland,ACN,631632935.9578598
50,Chevron,224190000000.0,116.3,🇺🇸 USA,CVX,1927687016.3370593
51,Danaher,224030000000.0,313.52,🇺🇸 USA,DHR,714563664.2000511
52,PayPal,220940000000.0,188.05,🇺🇸 USA,PYPL,1174900292.4754055
53,Abbott Laboratories,220110000000.0,124.48,🇺🇸 USA,ABT,1768235861.1825192
54,Reliance Industries,216890000000.0,32.06,🇮🇳 India,RELIANCE.NS,6765127885.215221
55,Verizon,214250000000.0,51.75,🇺🇸 USA,VZ,4140096618.357488
56,Meituan,211730000000.0,33.58,🇨🇳 China,MPNGF,6305241215.008934
57,AbbVie,210160000000.0,118.88,🇺🇸 USA,ABBV,1767833109.0174966
58,Merck,209140000000.0,82.8,🇺🇸 USA,MRK,2525845410.6280193
59,Wells Fargo,204940000000.0,51.4,🇺🇸 USA,WFC,3987159533.0739303
60,CM Bank,203690000000.0,8.16,🇨🇳 China,3968.HK,24962009803.92157
61,QUALCOMM,202650000000.0,180.94,🇺🇸 USA,QCOM,1119984525.2569914
62,Intel,199680000000.0,49.1,🇺🇸 USA,INTC,4066802443.991853
63,Shopify,198470000000.0,1573.0,🇨🇦 Canada,SHOP,126172917.9910998
64,Hermès,195660000000.0,1870.0,🇫🇷 France,HESAF,104631016.04278074
65,McDonald,191030000000.0,255.65,🇺🇸 USA,MCD,747232544.494426
66,Intuit,189900000000.0,670.63,🇺🇸 USA,INTU,283166574.71332926
67,Novartis,186420000000.0,82.67,🇨🇭 Switzerland,NVS,2254989718.156526
